Datum,Sonnenaufgang,Sonnenuntergang,Tageslaenge,Niederschlag (l/m^2),Sonnenschein (h),Schneehoehe (cm),Sonnenschein (%),Tageslaenge (dezimal)
2014-03-28,6:00:31,18:48:24,12:47:53,0,0.1,0,0.007824726,12.78
2014-03-29,5:58:02,18:50:17,12:52:15,0,6,0,0.466200466,12.87
2014-03-30,6:55:38,19:52:06,12:56:28,0,7.8,0,0.60324826,12.93
2014-03-31,6:53:09,19:53:59,13:00:50,0,0.3,0,0.023076923,13
2014-04-01,6:50:40,19:55:53,13:05:13,0,0,0,0,13.08
2014-04-02,6:48:11,19:57:46,13:09:35,0,5.5,0,0.418250951,13.15
2014-04-03,6:45:43,19:59:39,13:13:56,0,6.4,0,0.484114977,13.22
2014-04-04,6:43:15,20:01:33,13:18:18,25.7,1,0,0.07518797,13.3
2014-04-05,6:40:47,20:03:26,13:22:39,1.2,0,0,0,13.37
2014-04-06,6:38:20,20:05:19,13:26:59,11.6,0,0,0,13.43
2014-04-07,6:35:53,20:07:13,13:31:20,0.4,2.4,0,0.177514793,13.52
2014-04-08,6:33:26,20:09:06,13:35:40,10.4,0.7,0,0.051546392,13.58
2014-04-09,6:31:00,20:10:59,13:39:59,0,2.6,0,0.19047619,13.65
2014-04-10,6:28:34,20:12:53,13:44:19,0,0.4,0,0.029133285,13.73
2014-04-11,6:26:09,20:14:46,13:48:37,0,4.4,0,0.31884058,13.8
2014-04-12,6:23:45,20:16:39,13:52:54,1.5,5,0,0.360490267,13.87
2014-04-13,6:21:21,20:18:33,13:57:12,4.7,6.6,0,0.47311828,13.95
2014-04-14,6:18:58,20:20:26,14:01:28,0.2,6.2,0,0.442225392,14.02
2014-04-15,6:16:36,20:22:20,14:05:44,0,13.5,0,0.958806818,14.08
2014-04-16,6:14:14,20:24:13,14:09:59,0,13.2,0,0.932862191,14.15
2014-04-17,6:11:53,20:26:07,14:14:14,3.5,6.5,0,0.456781448,14.23
2014-04-18,6:09:33,20:28:00,14:18:27,0.5,0.3,0,0.020979021,14.3
2014-04-19,6:07:13,20:29:53,14:22:40,0,10.5,0,0.730688935,14.37
2014-04-20,6:04:55,20:31:47,14:26:52,0,13.2,0,0.914760915,14.43
2014-04-21,6:02:37,20:33:40,14:31:03,0.2,5.7,0,0.392561983,14.52
2014-04-22,6:00:21,20:35:33,14:35:12,20.6,6.5,0,0.445816187,14.58
2014-04-23,5:58:05,20:37:26,14:39:21,0.4,0.1,0,0.006825939,14.65
2014-04-24,5:55:51,20:39:19,14:43:28,0,0,0,0,14.72
2014-04-25,5:53:37,20:41:12,14:47:35,0,13.5,0,0.913396482,14.78
2014-04-26,5:51:25,20:43:05,14:51:40,0,13.7,0,0.922558923,14.85
2014-04-27,5:49:14,20:44:58,14:55:44,0,13.5,0,0.904825737,14.92
2014-04-28,5:47:04,20:46:50,14:59:46,0,14.1,0,0.941255007,14.98
2014-04-29,5:44:55,20:48:42,15:03:47,0,13.6,0,0.903654485,15.05
2014-04-30,5:42:47,20:50:34,15:07:47,0,9.3,0,0.615079365,15.12
2014-05-01,5:40:41,20:52:26,15:11:45,0,10.3,0,0.678524374,15.18
2014-05-02,5:38:37,20:54:17,15:15:40,0,7.5,0,0.491803279,15.25
2014-05-03,5:36:33,20:56:08,15:19:35,0,10,0,0.652741514,15.32
2014-05-04,5:34:32,20:57:59,15:23:27,0,0.7,0,0.045513654,15.38
2014-05-05,5:32:31,20:59:49,15:27:18,0,0,0,0,15.45
2014-05-06,5:30:33,21:01:39,15:31:06,7.1,1.7,0,0.109536082,15.52
2014-05-07,5:28:36,21:03:28,15:34:52,3.1,4.2,0,0.269749518,15.57
2014-05-08,5:26:41,21:05:16,15:38:35,8.4,1,0,0.063979527,15.63
2014-05-09,5:24:47,21:07:04,15:42:17,2.5,1.4,0,0.089171975,15.7
2014-05-10,5:22:55,21:08:52,15:45:57,3,0.5,0,0.031746032,15.75
2014-05-11,5:21:06,21:10:38,15:49:32,10.8,1.5,0,0.094816688,15.82
2014-05-12,5:19:18,21:12:24,15:53:06,0.9,2,0,0.125944584,15.88
2014-05-13,5:17:32,21:14:09,15:56:37,0.3,4.5,0,0.282485876,15.93
2014-05-14,5:15:48,21:15:53,16:00:05,0,3.1,0,0.19375,16
